Roll No,CPI,Attn Bonus,A30,A20,B30,B20,C30,C20,D30,D20,E30,E20,F30,F20,S20,S80
286,5.94,12,22,15,16,11,15,10,22,15,18,12,19,13,13,52
287,5.92,14,26,16,25,18,22,15,29,20,24,16,25,18,17,66
288,5.84,11,18,10,16,11,19,13,18,12,19,13,19,13,13,69
289,5.82,15,15,9,15,10,15,10,18,12,17,11,16,11,11,44
290,5.82,12,22,15,16,11,15,10,22,15,18,12,19,13,13,50
291,5.78,14,19,11,18,13,18,12,21,15,21,15,20,14,14,54
292,5.72,9,18,9,15,10,18,12,18,13,17,11,18,12,11,44
293,5.72,11,15,9,19,13,17,11,23,16,19,13,19,13,13,51
294,5.72,11,18,10,16,11,19,13,18,12,19,13,19,13,13,67
295,5.71,12,13,10,12,10,15,10,19,13,16,11,15,10,11,44
296,5.6,12,13,10,12,10,15,10,19,13,16,11,15,10,11,43
297,5.53,14,18,10,16,11,16,11,25,17,21,14,20,14,13,52
298,5.46,16,17,10,20,14,17,12,20,14,17,12,19,13,13,52
299,5.44,13,25,15,24,17,20,14,27,18,22,15,24,17,16,62
300,5.42,14,18,10,16,11,16,11,24,17,21,14,20,14,13,50
301,5.35,16,17,10,20,14,17,12,20,14,17,12,19,13,13,50
302,5.35,11,20,14,15,10,14,9,20,14,17,11,18,12,12,47
303,5.31,10,16,10,16,11,9,10,6,10,17,12,19,13,10,50
304,5.26,10,17,9,15,10,18,12,17,11,18,12,18,12,12,63
305,5.2,10,16,10,16,11,9,10,6,10,17,12,19,13,10,48
306,5.14,11,12,9,11,9,14,9,18,12,15,10,14,9,10,40
307,5.12,9,4,10,2,10,3,10,16,11,3,10,12,10,10,40
308,5.02,9,4,10,2,10,3,10,16,11,3,10,12,10,10,39
309,4.98,13,17,9,15,10,15,10,23,16,19,13,18,13,12,47
310,4.91,15,16,9,18,13,16,11,18,13,16,11,18,12,12,47
311,4.83,9,12,10,12,10,3,10,1,10,12,10,8,10,15,60
312,4.78,9,15,9,15,10,9,9,6,9,16,11,18,12,9,45
313,4.73,9,12,10,12,10,3,10,1,10,12,10,8,10,15,58
314,4.61,9,4,9,2,9,3,9,15,10,3,9,11,9,9,36
315,4.35,9,11,9,11,9,3,9,12,9,11,9,8,9,14,54
316,4.31,8,0,10,0,10,0,10,12,10,0,10,0,10,10,50
317,4.22,8,0,10,0,10,0,10,19,10,0,10,0,10,10,48
318,4.2,8,1,10,4,10,12,10,19,10,15,10,5,10,12,50
319,4.13,8,7,10,5,10,5,10,11,10,6,10,6,10,4,40
320,4.12,8,1,10,4,10,12,10,18,10,15,10,5,10,12,48
321,4.05,8,7,10,5,10,5,10,20,10,6,10,6,10,4,39
322,3.88,8,0,9,0,9,0,9,20,9,0,9,0,9,9,45
323,3.78,8,1,9,4,9,11,9,18,9,14,9,5,9,11,45
324,3.72,8,7,9,5,9,5,9,12,9,6,9,6,9,4,36
325,3.67,7,7,10,9,10,ab,10,12,10,ab,10,ab,10,ab,40
326,3.6,7,7,10,9,10,8,10,11,10,12,10,12,10,11,39
327,3.5,14,ab,10,16,11,16,11,1,13,16,11,17,12,12,48
328,3.43,14,12,10,16,11,16,11,0,13,16,11,17,12,12,47
329,3.3,7,7,9,9,9,9,9,0,9,12,9,12,9,11,36
330,3.15,13,11,9,15,10,15,10,1,12,15,10,16,11,11,44
331,2.78,14,17,12,12,10,12,10,5,14,15,10,16,11,12,48
332,2.72,14,17,12,12,10,12,10,1,14,15,10,16,11,12,47
333,2.5,13,16,11,11,9,11,9,5,13,14,9,15,10,11,44
334,2.37,12,12,10,12,10,12,10,0,10,12,10,12,10,10,40
335,2.32,12,12,10,12,10,12,10,1,10,12,10,12,10,10,39
336,2.13,11,11,9,11,9,11,9,5,9,11,9,11,9,9,36
337,1.63,12,6,10,12,10,ab,10,ab,10,12,10,ab,10,10,40
338,1.6,12,6,10,12,10,10,10,8,10,12,10,8,10,10,39
339,1.47,11,6,9,11,9,7,9,8,9,11,9,8,9,9,35
